CustomerID,Name,Region,JoinDate,LastPurchaseDate,EmailOptIn
1000,Robert Gomez,West,2024-02-25,2025-10-14,no
1001,John Silva,East,2020-12-01,2021-11-26,no
1002,Mark Marshall,Central,2020-08-08,2024-10-06,yes
1003,David Brennan,North,2020-05-21,2023-06-14,yes
1004,Kerry Collins,North,2023-09-12,2024-09-04,no
1005,Jessica Mora,South,2021-08-05,2022-07-12,no
1006,Hannah Ray,West,2021-07-03,2022-10-31,yes
1007,David Kim,West,2020-05-20,2022-08-05,no
1008,William Ramirez,East,2023-09-15,2023-12-24,yes
1009,Zachary Bell Jr.,East,2023-04-20,2023-09-26,yes
1010,Mike Davis,East,2022-03-23,2023-02-21,yes
1011,Amanda Myers,West,2021-09-05,2022-07-26,yes
1012,Tara Miller,North,2020-08-10,2024-10-21,no
1013,Alyssa Morgan,North,2022-07-22,2023-02-26,no
1014,Cindy Woods,East,2024-04-02,2024-09-08,yes
1015,Jennifer Rodgers,North,2023-02-12,2024-10-28,no
1016,Andrea Roberts,East,2021-05-16,2022-03-13,no
1017,Brittney Burnett,North,2020-07-03,2023-06-13,yes
1018,Edwin Garrison,South-West,2020-08-31,2024-05-07,no
1019,Michelle Torres,Central,2020-11-18,2021-02-06,yes
1020,Michelle Brewer,East,2021-07-14,2021-07-14,no
1021,Aaron Burnett,South,2024-02-13,2024-05-11,yes
1022,Austin Gutierrez,East,2021-11-25,2023-12-26,no
1023,Dustin Medina,East,2021-06-14,2023-12-14,yes
1024,Andres Avila,Central,2022-09-19,2023-05-06,no
1025,Garrett Lewis,South,2023-08-04,2024-11-15,no
1026,Gary Walls,North,2023-10-05,2025-07-11,no
1027,Anthony Schroeder,East,2020-10-04,2021-09-16,no
1028,Haley Wagner,West,2023-11-03,2024-02-10,yes
1029,Gina Powers,West,2022-10-26,2024-04-23,yes
1030,Alice Robinson,East,2021-08-06,2022-11-07,yes
1031,Jessica Frazier,West,2021-10-20,2024-07-30,no
1032,Terri Long,East,2022-10-23,2025-03-13,no
1033,Paul Perkins,East,2022-03-16,2023-09-19,no
1034,Heather Smith,Central,2022-09-16,2024-01-09,no
1035,Lorraine Rodriguez,East,2022-09-26,2023-07-16,no
1036,Robert Bishop,South-West,2020-09-14,2022-08-13,no
1037,Lisa Sanders,West,2020-06-03,2024-12-02,yes
1038,Jason Ford,East,2023-10-09,2024-02-03,no
1039,Brandy Good,West,2023-05-21,2025-01-31,yes
1040,Angel Lee,Central,2022-04-08,2023-12-05,yes
1041,David Beltran,East,2021-01-18,2024-03-17,no
1042,Christopher Dodson,North,2023-10-30,2025-02-12,no
1043,Eric Pena,West,2022-06-30,2024-06-19,yes
1044,Anita Huerta,East,2022-04-08,2024-07-14,yes
1045,Dr. Susan Bailey,North,2020-10-02,2023-08-01,no
1046,Tyler Colon,Central,2021-03-03,2021-03-11,yes
1047,Ashley Pearson,West,2020-10-04,2022-02-05,no
1048,Dr. Donald Proctor,North,2024-03-17,2024-06-06,no
1049,Rebecca Jordan,West,2022-10-08,2025-09-20,yes
1050,Jeffrey Mclaughlin,East,2022-03-28,2024-08-11,yes
